Typ;Nr;Namn;Address1;Address2;Address3;Address4;Address5;RT90x;RT90y
Butik;246;Häggvik;Norra Malmvägen 80-82;;191 62;SOLLENTUNA;Stockholms län;6592905.95;1620873.88
Butik;301;Gottsunda centrum;Valthornsvägen;;S-756 50;UPPSALA;Uppsala län;6633403;1602399
Butik;302;;Dragarbrunnsgatan 48 A;;S-753 20;UPPSALA;Uppsala län;6639091;1602924
Butik;303;Stenhagen;Herrhagsvägen 1;;S-752 67;UPPSALA;Uppsala län;6637930;1598530
Butik;305;Gränby Centrum;Marknadsgatan;;S-754 31;UPPSALA;Uppsala län;6641214;1604586
Butik;306;;Centrumgränd;;S-746 32;BÅLSTA;Uppsala län;6606509;1597406
Butik;307;;Östra Ringgatan 21;;749 35;ENKÖPING;Uppsala län;6613246;1572022
Butik;308;;Centralgatan 14;;S-815 38;TIERP;Uppsala län;6692989;1594382
Butik;309;;Rådhusgatan 10;;S-742 42;ÖREGRUND;Uppsala län;6694119;1645477
Butik;310;;Centrumgatan 7;;S-814 30;SKUTSKÄR;Uppsala län;6724141;1588100
Butik;311;Kvarnen;Vaksalagatan 30;;S-753 31;UPPSALA;Uppsala län;6639512;1603172
Butik;312;Boländerna;Stångjärnsgatan 10;;S-753 23;UPPSALA;Uppsala län;6637844;1605483
Butik;313;;Gredelbyvägen 1;;S-741 40;KNIVSTA;Uppsala län;6624652.076;1611679.798
Butik;401;Nyköping City;Västra Storgatan 13;;611 31;NYKÖPING;Södermanlands län;6515028.895;1569376.114
Butik;402;;Östra Långgatan 35;;619 30;TROSA;Södermanlands län;6531831;1600452
Butik;403;;Kungsgatan 12;;632 20;ESKILSTUNA;Södermanlands län;6583501;1540344
Butik;404;Tuna park;Albertina Nyströms väg 2;;632 22;ESKILSTUNA;Södermanlands län;6584036;1537739
Butik;405;;Levins Gränd 1;;644 32;TORSHÄLLA;Södermanlands län;6589036;1538111
Butik;406;;Köpmangatan 9;;641 30;KATRINEHOLM;Södermanlands län;6541645;1523150
Butik;407;;Trädgårdsgatan 12;;645 31;STRÄNGNÄS;Södermanlands län;6584622;1569400
Butik;408;;Storgatan 17-19;;647 30;MARIEFRED;Södermanlands län;6571761;1580719
Butik;409;;Landsvägsgatan 26;;642 60;MALMKÖPING;Södermanlands län;6557184;1552835
Butik;410;;Götgatan 1;;S-642 37;FLEN;Södermanlands län;6548884;1545074
Butik;411;;Järntorget 1;;613 30;OXELÖSUND;Södermanlands län;6505986;1575358
Butik;412;;Storgatan 18-20;;643 30;VINGÅKER;Södermanlands län;6547855.233;1504237.313
Butik;413;;Västra Storgatan 16 A;;646 31;GNESTA;Södermanlands län;6548443;1586187
Butik;414;Gustafsberg;Gustafsbergsstigen 4;;611 67;NYKÖPING;Södermanlands län;6517119.125;1570645.471
Butik;501;;Ekholmens Centrum;;S-589 25;LINKÖPING;Östergötlands län;6473035;1492658
Butik;504;Tornby;Svedengatan 9;;S-582 73;LINKÖPING;Östergötlands län;6479145.019;1487377.664
Butik;505;Gyllentorget;Repslagaregatan 25-27;;S-582 22;LINKÖPING;Östergötlands län;6476390;1489594
Butik;506;;Adelswärdsgatan 4 C;;S-597 30;ÅTVIDABERG;Östergötlands län;6453149;1511376
Butik;507;;Jerikodalsgatan 1-3;;S-595 30;MJÖLBY;Östergötlands län;6467120;1460174
Butik;509;;Hovsgatan 4;;592 30;VADSTENA;Östergötlands län;6480824;1446505
Butik;510;;Kungsgatan 20;;S-591 30;MOTALA;Östergötlands län;6490756;1455091
Butik;513;;Hantverkaregatan 26;;602 32;NORRKÖPING;Östergötlands län;6496126;1522429
Butik;516;;Mirum Galleria;;603 59;NORRKÖPING;Östergötlands län;6494501;1523596
Butik;517;Ingelsta;Blygatan 27;;602 23;NORRKÖPING;Östergötlands län;6499208;1520906
Butik;518;;Rådhustorget 2;;614 34;SÖDERKÖPING;Östergötlands län;6484436;1530015
Butik;519;;Centralplan;;615 30;VALDEMARSVIK;Östergötlands län;6453595;1546891
Butik;520;;Bergslagsvägen 9;;612 30;FINSPÅNG;Östergötlands län;6509414;1498252
Butik;521;;Torggatan 3;;S-590 37;KISA;Östergötlands län;6429382;1489791
Butik;522;;Riddaregatan 1;;599 31;ÖDESHÖG;Östergötlands län;6456749;1432291
Butik;523;;Hagagatan 1a;;S-570 60;ÖSTERBYMO;Östergötlands län;6411365;1468650
Butik;524;;Postgatan 5 C;;S-590 11;BOXHOLM;Östergötlands län;6452813;1455910
Butik;525;Djurgården;Åsmestadsgatan 6;;S-583 38;Linköping;Östergötlands län;6473703;1487321
Butik;601;A6;Kompanigata 16-18;;553 05;JÖNKÖPING;Jönköpings län;6406582;1404702
Butik;602;Atollen;Fiskargränd 5;;553 20;JÖNKÖPING;Jönköpings län;6407378.48;1402829.945
Butik;604;;Jönköpingsvägen 7 B;;566 31;HABO;Jönköpings län;6421781;1397415
Butik;605;;Flanaden;;331 30;VÄRNAMO;Jönköpings län;6341157;1393302
Butik;606;;Rosenborgsgatan 33;;561 31;HUSKVARNA;Jönköpings län;6408236;1408994
Butik;607;;Storgatan 34;;571 31;NÄSSJÖ;Jönköpings län;6392635;1433722
Butik;608;;Biblioteksgatan 8;;574 32;VETLANDA;Jönköpings län;6366864;1456746
Butik;609;;Södra Storgatan 4 C;;575 31;EKSJÖ;Jönköpings län;6393656;1450327
Butik;610;;Storgatan 23;;573 32;TRANÅS;Jönköpings län;6434741;1450918
Butik;611;;Köpmangatan 4;;332 32;GISLAVED;Jönköpings län;6355208;1363441
Butik;612;;Storgatan 5;;576 31;SÄVSJÖ;Jönköpings län;6364513;1431555
Butik;613;;Köpmansgatan 6;;578 32;ANEBY;Jönköpings län;6413151;1441089
Butik;615;;Köpmansgatan 2;;335 30;GNOSJÖ;Jönköpings län;6361163.206;1375268.598
Butik;616;;Järnvägsgatan 29;;565 32;MULLSJÖ;Jönköpings län;6422852;1386083
Butik;618;;Centralplan 1;;568 30;SKILLINGARYD;Jönköpings län;6368234;1397112
Butik;619;;Ribbagårdsgränd 2;;563 31;GRÄNNA;Jönköpings län;6433960;1420909
Butik;701;Affärshuset Tegner;Storgatan 40;;352 31;VÄXJÖ;Kronobergs län;6306289;1438691
Butik;702;;Eskilsgatan 7;;341 30;LJUNGBY;Kronobergs län;6302408;1386202
Butik;703;;Norra Esplanaden 6;;S-343 30;ÄLMHULT;Kronobergs län;6270668;1397644
Butik;704;;Storgatan 14;;342 30;ALVESTA;Kronobergs län;6308791;1423876
Butik;705;;Drottninggatan 32;;S-285 31;MARKARYD;Kronobergs län;6261969;1364034
Butik;706;;Storgatan 74;;362 30;TINGSRYD;Kronobergs län;6266611;1449184
Butik;707;Samarkand;Hejaregatan 22;;352 46;VÄXJÖ;Kronobergs län;6306955;1436486
Butik;708;;Olofsgatan 10;;364 30;ÅSEDA;Kronobergs län;6338507;1472131
Butik;709;;Storgatan 71;;360 50;LESSEBO;Kronobergs län;6291735;1467278
Butik;801;Giraffen;Verkstadsgatan 8;;392 39;KALMAR;Kalmar län;6282701;1532558
Butik;802;;Norra Långgatan 23-25;;392 32;KALMAR;Kalmar län;6282033;1534227
Butik;804;;Löttorpsvägen 39;;387 72;LÖTTORP;Kalmar län;6338318;1572184
Butik;805;;Östra Kyrkogatan 19;;387 31;BORGHOLM;Kalmar län;6306084;1551887
Butik;806;;Ölands Köpstad;;386 31;FÄRJESTADEN;Kalmar län;6280723;1540764
Butik;807;;Åsevadsgatan 3;;383 31;MÖNSTERÅS;Kalmar län;6324124;1538719
Butik;808;;Postmästaregatan 16;;572 30;OSKARSHAMN;Kalmar län;6348913;1538632
Butik;809;;Västra Kyrkogatan 34;;593 33;VÄSTERVIK;Kalmar län;6403932.531;1549363.395
Butik;810;;Sevedegatan 25 B;;598 37;VIMMERBY;Kalmar län;6393520;1502808
Butik;811;;Bangatan 9;;382 40;NYBRO;Kalmar län;6290738;1505845
Butik;812;;Bryggerigatan 3;;577 30;HULTSFRED;Kalmar län;6373587;1502275
Butik;813;;Hantverkaregatan 7;;361 30;EMMABODA;Kalmar län;6278197;1483645
Butik;814;;Allfargatan 9;;385 30;TORSÅS;Kalmar län;6253828;1512143
Butik;815;;Posttorget;;579 30;HÖGSBY;Kalmar län;6337209;1513635
Butik;816;;Bondevägen 4;;S-594 31;GAMLEBY;Kalmar län;6419481;1535247
Butik;902;;Österväg 3 C;;621 45;VISBY;Gotlands län;6393067;1648993
Butik;903;;Storgatan 61;;623 50;HEMSE;Gotlands län;6348961;1655264
Butik;904;;Tullhagsplan 2 B;;620 30;SLITE;Gotlands län;6401616;1678634
Butik;1001;Wachtmeister;Arklimästaregatan 46;;371 35;KARLSKRONA;Blekinge län;6225904;1486152
Butik;1002;Amiralen;Verkövägen 9;;371 62;Karlskrona-LYCKEBY;Blekinge län;6229811;1489878
Butik;1003;;Strandgatan 4;;372 30;RONNEBY;Blekinge län;6231583;1466905
Butik;1004;;Drottninggatan 71 B;;374 38;KARLSHAMN;Blekinge län;6227534;1441277
Butik;1005;;Järnvägsgatan 5;;294 34;SÖLVESBORG;Blekinge län;6214118;1423814
Butik;1006;;Östra Storgatan 34;;S-293 34;OLOFSTRÖM;Blekinge län;6239566;1421035
Butik;1101;;Östra Boulevarden 3;;S-291 31;KRISTIANSTAD;Skåne län;6212505;1397361
Butik;1103;;Köpmannagatan 2;;296 31;ÅHUS;Skåne län;6200770;1406017
Butik;1104;;Stora Rådmansgatan 5;;S-272 31;SIMRISHAMN;Skåne län;6159590;1408055
Butik;1105;;Centralgatan 4;;S-273 30;TOMELILLA;Skåne län;6158678;1383099
Butik;1106;;Första Avenyn 7;;281 31;HÄSSLEHOLM;Skåne län;6227333;1373348
Butik;1107;;Storgatan 47 b;;S-262 32;ÄNGELHOLM;Skåne län;6239143;1317627
Butik;1108;;Köpmansgatan 72 D;;S-269 31;BÅSTAD;Skåne län;6259398;1317558
Butik;1109;;Storgatan 23;;S-264 33;KLIPPAN;Skåne län;6226219;1333737
Butik;1110;;Köpmangatan 14F;;S-284 31;PERSTORP;Skåne län;6225863;1350158
Butik;1111;;Västra Järnvägsgatan 18;;283 31;OSBY;Skåne län;6251939;1388161
Butik;1112;;Torggatan 15;;S-265 35;ÅSTORP;Skåne län;6226584;1322304
Butik;1113;;Terrassen 1 B;;S-286 31;ÖRKELLJUNGA;Skåne län;6242367;1343566
Butik;1114;;Storgatan 35;;295 31;BROMÖLLA;Skåne län;6217008;1416645
Butik;1115;;Östra Järnvägsgatan 7;;280 60;BROBY;Skåne län;6237612;1392834
Butik;1202;;Jägersro Center;;213 75;MALMÖ;Skåne län;6163462;1326679
Butik;1203;Entré;Fredsgatan 14 B;;212 12;MALMÖ;Skåne län;6167611;1324624
Butik;1206;Mobilia;Stadiongatan 3D;;214 32;MALMÖ;Skåne län;6164645;1323361
Butik;1207;;Södra Förstadsgatan 50 B;;211 43;MALMÖ;Skåne län;6166535;1323352
Butik;1208;Hansa;Malmborgsgatan 6;;211 38;MALMÖ;Skåne län;6167276;1323437
Butik;1209;Kronprinsen;Regementsgatan 50;;217 48;MALMÖ;Skåne län;6166891;1322276
Butik;1211;Limhamn;Linnégatan 47;;216 14;MALMÖ;Skåne län;6165081;1318967
Butik;1213;Västra Hamnen;Masttorget 2;;211 19;MALMÖ;Skåne län;6168313;1322011
Butik;1214;Emporia;Hyllie Stationsväg 18;;215 32;MALMÖ;Skåne län;6163093.345;1321290.065
Butik;1219;;Seglaregatan 6;;S-234 31;LOMMA;Skåne län;6174940;1327872
Butik;1220;;Kristers Väg 3;;S-247 50;DALBY;Skåne län;6173287;1345419
Butik;1221;;Burlövs Centrum;;232 37;ARLÖV;Skåne län;6171158;1328649
Butik;1222;;Södergatan 2;;274 31;SKURUP;Skåne län;6152620;1354240
Butik;1224;;Storgatan 15;;233 31;SVEDALA;Skåne län;6156227;1337706
Butik;1225;;Algatan 26;;231 42;TRELLEBORG;Skåne län;6141465;1332130
Butik;1226;;Järnvägsgatan 2 L;;235 31;VELLINGE;Skåne län;6152534;1323928
Butik;1227;Toppengallerian;Kungstorpsvägen 10;;236 32;HÖLLVIKEN;Skåne län;6147740;1320203
Butik;1230;;Stora Östergatan 13;;S-271 34;YSTAD;Skåne län;6146284;1374488
Butik;1231;;Östergatan 10;;S-275 32;SJÖBO;Skåne län;6168758;1367920
Butik;1232;;Bråhögsplatsen 1 C;;S-245 31;STAFFANSTORP;Skåne län;6171225;1336283
Butik;1242;Råå;Landskronavägen 33;;S-252 32;HELSINGBORG;Skåne län;6212432;1308927
Butik;1243;;Drottninggatan 18;;S-252 21;HELSINGBORG;Skåne län;6217608;1306020
Butik;1245;Väla;Björkavägen 97;;S-260 36;ÖDÅKRA-VÄLA;Skåne län;6222527;1310841
Butik;1246;;Norra Storgatan 20;;S-267 31;BJUV;Skåne län;6221375;1320090
Butik;1248;;Trädgårdsgatan 9;;S-261 31;LANDSKRONA;Skåne län;6197269;1313785
Butik;1249;;Herrevadsgatan 11 H;;S-268 31;SVALÖV;Skåne län;6201665;1331294
Butik;1250;Center Syd;Marknadsvägen 5;;S-246 42;LÖDDEKÖPINGE;Skåne län;6185754.814;1323412.974
Butik;1252;;Storgatan 58 E;;S-263 38;HÖGANÄS;Skåne län;6234950;1298599
Butik;1253;NOVA;Traktorvägen 4;;S-226 60;LUND;Skåne län;6179662;1333949
Butik;1254;;Bangatan 10;;S-222 21;LUND;Skåne län;6178262;1335497
Butik;1255;SALUHALLEN;Mårtenstorget 1;;S-223 51;LUND;Skåne län;6177810;1335908
Butik;1256;;Stenhuggaregatan 2;;S-244 30;KÄVLINGE;Skåne län;6187935;1330967
Butik;1257;;Södergatan 14;;S-241 30;ESLÖV;Skåne län;6192683;1343212
Butik;1258;;Nya Torg 10;;S-243 30;HÖÖR;Skåne län;6203019;1358345
Butik;1259;;Nya Torg 8;;S-242 31;HÖRBY;Skåne län;6193571;1365755
Butik;1301;;Köpmansgatan 5;;S-302 42;HALMSTAD;Hallands län;6286869;1319259
Butik;1302;;Eurostop Köpcenter;;30263;HALMSTAD;Hallands län;6284711;1322450
Butik;1304;;Storgatan 10b;;314 31;HYLTEBRUK;Hallands län;6322155;1344106
Butik;1305;;Östertullsgatan 12;;S-312 30;LAHOLM;Hallands län;6268301;1330033
Butik;1306;;Stortorget 3 B;;S-311 30;FALKENBERG;Hallands län;6313691;1298142
Butik;1307;;Västra Vallgatan 6;;S-432 41;VARBERG;Hallands län;6336631;1284500
Butik;1308;;Nygatan 17;;434 30;KUNGSBACKA;Hallands län;6379493;1276554
Butik;1309;Flygstaden;Kundvägen 5e;;30241;Halmstad;Hallands län;6287474;1316239
Butik;1310;Breared;Vrångagatan 5;;432 38;VARBERG;Hallands län;6334039.451;1286318.185
Butik;1311;;Hedebrovägen 50;;434 39;Kungsbacka;Hallands län;6382872.95;1276456.46
Butik;1404;;Kungsportsavenyn 18;;411 36;GÖTEBORG;Västra Götalands län;6403733;1271722
Butik;1406;;Kungstorget 1;;411 17;GÖTEBORG;Västra Götalands län;6404043;1271243
Butik;1407;Olskroken;Kobbarnas väg 1;;416 64;GÖTEBORG;Västra Götalands län;6405184;1273064
Butik;1409;;Torpavallsgatan 4;;416 73;GÖTEBORG;Västra Götalands län;6406126;1274930
Butik;1410;Nordstan;Lilla Klädpressaregatan 8-16;;411 05;GÖTEBORG;Västra Götalands län;6404812;1271369
Butik;1411;;Linnégatan 28 B;;413 04;GÖTEBORG;Västra Götalands län;6403411;1270271
Butik;1412;;Kapellplatsen 4;;411 31;GÖTEBORG;Västra Götalands län;6402961;1271407
Butik;1413;Gårda;Åvägen 42;;412 51;GÖTEBORG;Västra Götalands län;6403428;1272761
Butik;1414;Backaplan;Swedenborgsgatan 5;;417 05;GÖTEBORG;Västra Götalands län;6406423;1270416
Butik;1415;;Karl Johansgatan 85;;414 51;GÖTEBORG;Västra Götalands län;6402845;1267940
Butik;1416;Bäckebol Homecenter;Transportgatan 19-21;;S-422 46;HISINGS BACKA;Västra Götalands län;6411470.983;1273672.71
Butik;1417;Eriksberg;Kolhamnsgatan 9;;417 61;GÖTEBORG;Västra Götalands län;6404850;1268441
Butik;1418;Gamlestaden;Hornsgatan 1;;415 26;GÖTEBORG;Västra Götalands län;6406688;1274154
Butik;1420;;Frölunda Torg;;421 42;VÄSTRA FRÖLUNDA;Västra Götalands län;6398598;1267803
Butik;1423;;Angereds Torg 4;;424 65;ANGERED;Västra Götalands län;6414264;1276844
Butik;1424;Sisjön;Hantverksvägen 2-8;;436 33;ASKIM;Västra Götalands län;6397481;1269750
Butik;1425;;Norgårdsvägen 10 B;;475 32;ÖCKERÖ;Västra Götalands län;6405734;1252658
Butik;1426;;Flygfältsgatan 50;;423 37;TORSLANDA;Västra Götalands län;6405474;1260362
Butik;1428;;Biblioteksvägen 14 B;;435 30;MÖLNLYCKE;Västra Götalands län;6398561;1279829
Butik;1429;;Ekenleden 5;;428 36;KÅLLERED;Västra Götalands län;6394219;1275116
Butik;1430;;Kyrktorget 14;;433 33;PARTILLE;Västra Götalands län;6407632;1279784
Butik;1431;;Brogatan 9;;431 30;MÖLNDAL;Västra Götalands län;6398613.864;1273835.974
Butik;1432;;Strandgatan 79;;442 31;KUNGÄLV;Västra Götalands län;6422621;1273096
Butik;1433;;Krokdalsvägen 4;;471 32;SKÄRHAMN;Västra Götalands län;6436974;1248621
Butik;1434;;Östra Köpmansgatan 25;;S-444 30;STENUNGSUND;Västra Götalands län;6445105;1264726
Butik;1435;;Hamntorget;;473 34;HENÅN;Västra Götalands län;6464503;1257692
Butik;1436;;Västerlånggatan 2 B;;S-451 31;UDDEVALLA;Västra Götalands län;6476090;1273297
Butik;1437;;Torp Köpcenter;;S-451 76;UDDEVALLA;Västra Götalands län;6477143;1266335
Butik;1438;;Strömstadsvägen 1;;S-455 30;MUNKEDAL;Västra Götalands län;6490091;1258968
Butik;1439;;Hallindenvägen 2 B;;S-456 34;KUNGSHAMN;Västra Götalands län;6479435;1234004
Butik;1440;;Korsgatan 5;;S-453 33;LYSEKIL;Västra Götalands län;6469508;1243607
Butik;1441;;Oslovägen 7;;S-452 35;STRÖMSTAD;Västra Götalands län;6544581;1233628
Butik;1442;;Oslovägen 56;;S-452 35;STRÖMSTAD;Västra Götalands län;6545334.592;1234585.595
Butik;1443;;Sältevägen 3;;S-457 72;GREBBESTAD;Västra Götalands län;6516725;1236229
Butik;1501;;Sundsgatan 6;;S-462 33;VÄNERSBORG;Västra Götalands län;6478252;1296225
Butik;1503;Anes väg 2;Överby Köpcenter;;S-461 70;Trollhättan;Västra Götalands län;6470997.14;1294751.786
Butik;1504;;Kungsgatan 32;;S-461 30;TROLLHÄTTAN;Västra Götalands län;6467768;1293872
Butik;1505;;Torggatan 11;;S-662 31;ÅMÅL;Västra Götalands län;6551974;1321958
Butik;1506;;Storgatan 8;;S-464 30;MELLERUD;Västra Götalands län;6513503;1305695
Butik;1507;;Berglunds Gränd 1;;S-666 30;BENGTSFORS;Västra Götalands län;6550815;1294435
Butik;1508;Solkatten;Lerum Centrum;;443 30;LERUM;Västra Götalands län;6410533;1289650
Butik;1509;Dals-Ed;Storgatan 26;;S-668 30;ED;Västra Götalands län;6538721;1276888
Butik;1511;;Göteborgsvägen 21;;517 36;BOLLEBYGD;Västra Götalands län;6398379;1307054
Butik;1512;;Allégatan 16;;503 32;BORÅS;Västra Götalands län;6403409;1329329
Butik;1513;Knalleland;Ålgårdsvägen 15;;506 30;BORÅS;Västra Götalands län;6404431;1329031
Butik;1514;;Göteborgsvägen 37;;S-463 30;LILLA EDET;Västra Götalands län;6451863;1283464
Butik;1515;;Storgatan 25;;S-514 33;TRANEMO;Västra Götalands län;6375785;1352841
Butik;1516;;Boråsvägen 2;;512 53;SVENLJUNGA;Västra Götalands län;6377802;1338480
Butik;1517;;Boråsvägen 2;;523 36;ULRICEHAMN;Västra Götalands län;6410343;1357860
